ms,pos,steps,strain,g
0,0.000,200,-17.00,0.260
2,0.000,200,-13.00,0.263
7,0.000,200,-12.00,0.263
100,0.000,200,-1.00,0.269
191,0.000,200,12.00,0.276
283,0.000,200,-1.00,0.269
375,0.000,200,-21.00,0.258
466,0.000,200,-18.00,0.260
558,0.000,200,-23.00,0.257
651,0.000,200,-88.00,0.222
742,0.000,200,4.00,0.272
834,0.000,200,66.00,0.305
926,0.000,200,-7.00,0.266
1017,0.000,200,-44.00,0.246
1109,0.000,200,44.00,0.293
1200,0.000,200,110.00,0.329
1293,0.000,200,74.00,0.309
1385,0.000,200,25.00,0.283
1476,0.000,200,-53.00,0.241
1568,0.000,200,17.00,0.279
1660,0.000,200,79.00,0.312
1751,0.000,200,48.00,0.295
1843,0.000,200,30.00,0.286
1936,0.000,200,18.00,0.279
2027,0.000,200,-7.00,0.266
2119,0.000,200,22.00,0.281
2210,0.000,200,17.00,0.279
2302,0.000,200,-9.00,0.265
2394,0.000,200,-20.00,0.259
2486,0.000,200,-33.00,0.252
2578,0.000,200,1.00,0.270
2670,0.000,200,39.00,0.291
2761,0.000,200,69.00,0.307
2853,0.000,200,52.00,0.298
2945,0.000,200,69.00,0.307
3036,0.000,200,87.00,0.316
3129,0.000,200,27.00,0.284
3221,0.000,200,-35.00,0.251
3312,0.000,200,-13.00,0.263
3404,0.000,200,14.00,0.277
3495,0.000,200,27.00,0.284
3587,0.000,200,66.00,0.305
3680,0.000,200,69.00,0.307
3771,0.000,200,92.00,0.319
3863,0.000,200,40.00,0.291
3955,0.000,200,4.00,0.272
4046,0.000,200,61.00,0.302
4138,0.000,200,29.00,0.285
4230,0.000,200,22.00,0.281
4322,0.000,200,22.00,0.281
4414,0.000,200,47.00,0.295
4506,0.000,200,36.00,0.289
4597,0.000,200,45.00,0.294
4689,0.000,200,62.00,0.303
4780,0.000,200,29.00,0.285
4872,0.000,200,31.00,0.286
4965,0.000,200,92.00,0.319
5056,0.000,200,74.00,0.309
5148,0.000,200,56.00,0.300
5240,0.000,200,16.00,0.278
5331,0.000,200,25.00,0.283
5423,0.000,200,21.00,0.281
5516,0.000,200,105.00,0.326
5607,0.000,200,95.00,0.321
5699,0.000,200,161.00,0.356
5790,0.000,200,154.00,0.353
5882,0.000,200,153.00,0.352
5974,0.000,200,174.00,0.363
6065,0.000,200,86.00,0.316
6158,0.000,200,74.00,0.309
6250,0.000,200,129.00,0.339
6341,0.000,200,141.00,0.346
6433,0.000,200,92.00,0.319
6524,0.000,200,84.00,0.315
6616,0.000,200,103.00,0.325
6708,0.000,200,193.00,0.374
6800,0.000,200,186.00,0.370
6892,0.000,200,101.00,0.324
6984,0.000,200,108.00,0.328
7075,0.000,200,80.00,0.313
7167,0.000,200,108.00,0.328
7259,0.000,200,184.00,0.369
7351,0.000,200,163.00,0.357
7443,0.000,200,169.00,0.361
7534,0.000,200,184.00,0.369
7626,0.000,200,227.00,0.392
7718,0.000,200,291.00,0.426
7809,0.000,200,191.00,0.373
7901,0.000,200,156.00,0.354
7994,0.000,200,207.00,0.381
8085,0.000,200,138.00,0.344
8177,0.000,200,185.00,0.369
8269,0.000,200,243.00,0.401
8360,0.000,200,240.00,0.399
8452,0.000,200,220.00,0.388
8544,0.000,200,216.00,0.386
8636,0.000,200,251.00,0.405
8728,0.000,200,274.00,0.417
8819,0.000,200,350.00,0.458
8911,0.000,200,286.00,0.424
9003,0.000,200,274.00,0.417
9094,0.000,200,294.00,0.428
9187,0.000,200,332.00,0.449
9279,0.000,200,299.00,0.431
9370,0.000,200,328.00,0.446
9462,0.000,200,401.00,0.486
9553,0.000,200,362.00,0.465
9645,0.000,200,353.00,0.460
9737,0.000,200,381.00,0.475
9829,0.000,200,389.00,0.479
9921,0.000,200,356.00,0.461
10013,0.000,200,299.00,0.431
10104,0.000,200,342.00,0.454
10196,0.000,200,382.00,0.475
10288,0.000,200,367.00,0.467
10380,0.000,200,366.00,0.467
10472,0.000,200,361.00,0.464
10563,0.000,200,306.00,0.435
10655,0.000,200,302.00,0.432
10747,0.000,200,312.00,0.438
10838,0.000,200,373.00,0.471
10930,0.000,200,401.00,0.486
11023,0.000,200,388.00,0.479
11114,0.000,200,362.00,0.465
11206,0.000,200,367.00,0.467
11298,0.000,200,355.00,0.461
11389,0.000,200,333.00,0.449
11481,0.000,200,288.00,0.425
11572,0.000,200,256.00,0.408
11665,0.000,200,252.00,0.405
11757,0.000,200,246.00,0.402
11848,0.000,200,216.00,0.386
11940,0.000,200,188.00,0.371
12032,0.000,200,167.00,0.360
12123,0.000,200,233.00,0.395
12216,0.000,200,239.00,0.398
12308,0.000,200,149.00,0.350
12399,0.000,200,152.00,0.351
12491,0.000,200,109.00,0.328
12582,0.000,200,122.00,0.335
12674,0.000,200,127.00,0.338
12766,0.000,200,121.00,0.335
12858,0.000,200,136.00,0.343
12950,0.000,200,168.00,0.360