ms,pos,steps,strain,g
0,0.000,200,-2284.00,-0.962
2,0.000,200,-2261.00,-0.949
20,0.000,200,-1941.00,-0.777
112,0.000,200,-376.00,0.067
203,0.000,200,117.00,0.333
296,0.000,200,-259.00,0.130
387,0.000,200,-302.00,0.107
479,0.000,200,-429.00,0.038
571,0.000,200,-402.00,0.053
662,0.000,200,-230.00,0.146
754,0.000,200,-245.00,0.137
845,0.000,200,-246.00,0.137
938,0.000,200,-213.00,0.155
1030,0.000,200,-259.00,0.130
1121,0.000,200,-216.00,0.153
1213,0.000,200,-212.00,0.155
1304,0.000,200,-34.00,0.251
1396,0.000,200,30.00,0.286
1488,0.000,200,-21.00,0.258
1580,0.000,200,-63.00,0.236
1672,0.000,200,-135.00,0.197
1763,0.000,200,-163.00,0.182
1855,0.000,200,-114.00,0.208
1946,0.000,200,-135.00,0.197
2038,0.000,200,-264.00,0.127
2131,0.000,200,-304.00,0.106
2222,0.000,200,-388.00,0.060
2314,0.000,200,-420.00,0.043
2405,0.000,200,-284.00,0.116
2497,0.000,200,-373.00,0.068
2589,0.000,200,-428.00,0.039
2681,0.000,200,-300.00,0.108
2773,0.000,200,-157.00,0.185
2864,0.000,200,-36.00,0.250
2956,0.000,200,-38.00,0.249
3047,0.000,200,-81.00,0.226
3139,0.000,200,-36.00,0.250
3231,0.000,200,149.00,0.350
3323,0.000,200,175.00,0.364
3415,0.000,200,102.00,0.325
3506,0.000,200,24.00,0.282
3598,0.000,200,-46.00,0.245
3690,0.000,200,-89.00,0.222
3781,0.000,200,-84.00,0.224
3873,0.000,200,-118.00,0.206
3965,0.000,200,-106.00,0.212
4057,0.000,200,-74.00,0.230
4148,0.000,200,-68.00,0.233
4240,0.000,200,-75.00,0.229
4332,0.000,200,-34.00,0.251
4423,0.000,200,-55.00,0.240
4516,0.000,200,-115.00,0.208
4607,0.000,200,-157.00,0.185
4699,0.000,200,-51.00,0.242
4790,0.000,200,-51.00,0.242
4882,0.000,200,-118.00,0.206
4974,0.000,200,-152.00,0.188
