ms,pos,steps,strain,g
0,0.000,200,-60.00,0.237
20,0.000,200,-55.00,0.240
112,0.000,200,-114.00,0.208
205,0.000,200,-52.00,0.242
296,0.000,200,-18.00,0.260
388,0.000,200,-23.00,0.257
479,0.000,200,-122.00,0.204
571,0.000,200,-295.00,0.111
663,0.000,200,-397.00,0.056
754,0.000,200,-322.00,0.096
847,0.000,200,-224.00,0.149
938,0.000,200,-230.00,0.146
1030,0.000,200,-160.00,0.183
1121,0.000,200,-143.00,0.192
1213,0.000,200,-186.00,0.169
1305,0.000,200,-94.00,0.219
1396,0.000,200,-112.00,0.209
1489,0.000,200,-130.00,0.199
1580,0.000,200,-105.00,0.213
1672,0.000,200,-67.00,0.233
1763,0.000,200,-129.00,0.200
1855,0.000,200,-102.00,0.215
1947,0.000,200,-46.00,0.245
2039,0.000,200,-73.00,0.230
2131,0.000,200,-144.00,0.192
2222,0.000,200,-56.00,0.239
2314,0.000,200,-55.00,0.240
2406,0.000,200,-88.00,0.222
2497,0.000,200,-64.00,0.235
2589,0.000,200,-104.00,0.213
2681,0.000,200,-160.00,0.183
2773,0.000,200,-149.00,0.189
2865,0.000,200,-25.00,0.256
2956,0.000,200,11.00,0.275
3048,0.000,200,-50.00,0.243
3139,0.000,200,-130.00,0.199
3231,0.000,200,-204.00,0.160
3323,0.000,200,-222.00,0.150
3415,0.000,200,-187.00,0.169
3507,0.000,200,-217.00,0.153
3598,0.000,200,-131.00,0.199
3690,0.000,200,-80.00,0.226
3781,0.000,200,-136.00,0.196
3874,0.000,200,-167.00,0.180
3965,0.000,200,-183.00,0.171
4057,0.000,200,-104.00,0.213
4149,0.000,200,-25.00,0.256
4240,0.000,200,-85.00,0.224
4332,0.000,200,-20.00,0.259
4423,0.000,200,57.00,0.300
4516,0.000,200,7.00,0.273
4607,0.000,200,-103.00,0.214
4699,0.000,200,-77.00,0.228
4791,0.000,200,-129.00,0.200
4882,0.000,200,-135.00,0.197
4974,0.000,200,-89.00,0.222
5065,0.000,200,-40.00,0.248
5158,0.000,200,-7.00,0.266
5250,0.000,200,18.00,0.279
5341,0.000,200,25.00,0.283
5433,0.000,200,52.00,0.298
5524,0.000,200,30.00,0.286
5616,0.000,200,67.00,0.306
5708,0.000,200,75.00,0.310
5800,0.000,200,48.00,0.295
5892,0.000,200,48.00,0.295
5983,0.000,200,40.00,0.291
6075,0.000,200,4.00,0.272
6166,0.000,200,-4.00,0.267
6258,0.000,200,-33.00,0.252
6351,0.000,200,15.00,0.278
6442,0.000,200,92.00,0.319
6534,0.000,200,160.00,0.356
6625,0.000,200,220.00,0.388
6717,0.000,200,172.00,0.362
6808,0.000,200,85.00,0.315
6900,0.000,200,21.00,0.281
6993,0.000,200,-11.00,0.264
7084,0.000,200,27.00,0.284
7176,0.000,200,22.00,0.281
7267,0.000,200,45.00,0.294
7359,0.000,200,82.00,0.314
7451,0.000,200,-83.00,0.225
7543,0.000,200,-137.00,0.196
7635,0.000,200,-101.00,0.215
7726,0.000,200,-65.00,0.235
7818,0.000,200,42.00,0.292
7909,0.000,200,-57.00,0.239
8001,0.000,200,-131.00,0.199
8093,0.000,200,-80.00,0.226
8185,0.000,200,-97.00,0.217
8277,0.000,200,-78.00,0.227
8368,0.000,200,-43.00,0.246
8460,0.000,200,31.00,0.286
8552,0.000,200,-18.00,0.260
8643,0.000,200,-52.00,0.242
8735,0.000,200,-130.00,0.199
8827,0.000,200,-136.00,0.196
8919,0.000,200,-92.00,0.220
9010,0.000,200,-73.00,0.230
9102,0.000,200,-83.00,0.225
9194,0.000,200,-147.00,0.190
9285,0.000,200,-199.00,0.162
9378,0.000,200,-150.00,0.189
9469,0.000,200,-178.00,0.174
9561,0.000,200,-215.00,0.154
9653,0.000,200,-195.00,0.164
9744,0.000,200,-168.00,0.179
9836,0.000,200,-132.00,0.198
9927,0.000,200,-27.00,0.255
10020,0.000,200,-11.00,0.264
10112,0.000,200,-113.00,0.209
10203,0.000,200,-230.00,0.146
10295,0.000,200,-277.00,0.120
10386,0.000,200,-253.00,0.133
10478,0.000,200,-187.00,0.169
10570,0.000,200,-155.00,0.186
10662,0.000,200,-231.00,0.145
10754,0.000,200,-282.00,0.118
10845,0.000,200,-326.00,0.094
10937,0.000,200,-278.00,0.120
11029,0.000,200,-152.00,0.188
11120,0.000,200,-85.00,0.224
11213,0.000,200,-162.00,0.182
11304,0.000,200,-189.00,0.168
11396,0.000,200,-248.00,0.136
11487,0.000,200,-286.00,0.115
11579,0.000,200,-273.00,0.122
11671,0.000,200,-294.00,0.111
11762,0.000,200,-515.00,-0.008
11855,0.000,200,-673.00,-0.093
11946,0.000,200,-712.00,-0.114
12038,0.000,200,-608.00,-0.058
12130,0.000,200,-552.00,-0.028
12221,0.000,200,-461.00,0.021
12313,0.000,200,-359.00,0.076
12404,0.000,200,-250.00,0.135
12497,0.000,200,-218.00,0.152
12588,0.000,200,-192.00,0.166
12680,0.000,200,-114.00,0.208
12772,0.000,200,-169.00,0.178
12863,0.000,200,-114.00,0.208
12955,0.000,200,33.00,0.287
13047,0.000,200,-5.00,0.267
13139,0.000,200,-69.00,0.232
13231,0.000,200,-98.00,0.217
13322,0.000,200,-71.00,0.231
13414,0.000,200,-43.00,0.246
13505,0.000,200,-93.00,0.219
13597,0.000,200,-121.00,0.204
13690,0.000,200,-191.00,0.167
13781,0.000,200,-106.00,0.212
13873,0.000,200,46.00,0.294
13964,0.000,200,73.00,0.309
14056,0.000,200,-12.00,0.263
14147,0.000,200,-143.00,0.192
14239,0.000,200,-99.00,0.216
14332,0.000,200,-128.00,0.201
14423,0.000,200,-241.00,0.140
14515,0.000,200,-161.00,0.183
14606,0.000,200,-78.00,0.227
14698,0.000,200,-76.00,0.229
14790,0.000,200,-73.00,0.230
14882,0.000,200,-8.00,0.265
14974,0.000,200,-43.00,0.246
15065,0.000,200,-94.00,0.219
15157,0.000,200,-264.00,0.127
15249,0.000,200,-426.00,0.040
15340,0.000,200,-507.00,-0.004
15432,0.000,200,-603.00,-0.056
15524,0.000,200,-530.00,-0.016
15616,0.000,200,-425.00,0.040
15707,0.000,200,-372.00,0.069
15799,0.000,200,-326.00,0.094
15891,0.000,200,-454.00,0.025
15982,0.000,200,-391.00,0.059
16074,0.000,200,-279.00,0.119
16166,0.000,200,-305.00,0.105
16258,0.000,200,-323.00,0.095