ms,pos,steps,strain,g
0,0.000,200,-2.00,0.268
2,0.000,200,-27.00,0.255
78,0.000,200,116.00,0.332
180,0.000,200,717.00,0.656
282,0.000,200,1419.00,1.035
383,0.000,200,2003.00,1.349
484,0.000,200,2527.00,1.632
586,0.000,200,2932.00,1.850
687,0.000,200,3213.00,2.002
789,0.000,200,3490.00,2.151
891,0.000,200,3733.00,2.282
992,0.000,200,3860.00,2.350
1094,0.000,200,3991.00,2.421
1195,0.000,200,4166.00,2.515
1296,0.000,200,4303.00,2.589
1398,0.000,200,4463.00,2.675
1499,0.000,200,4675.00,2.790
1601,0.000,200,4847.00,2.882
1703,0.000,200,5049.00,2.991
1804,0.000,200,5175.00,3.059