ms,pos,steps,strain,g
0,0.000,200,-366.00,0.072
3,0.000,200,-354.00,0.079
53,0.000,200,-348.00,0.082
154,0.000,200,-191.00,0.167
255,0.000,200,-14.00,0.262
357,0.000,200,86.00,0.316
458,0.000,200,166.00,0.359
560,0.000,200,218.00,0.387
661,0.000,200,292.00,0.427
763,0.000,200,340.00,0.453
865,0.000,200,371.00,0.470
966,0.000,200,384.00,0.477
1067,0.000,200,437.00,0.505
1169,0.000,200,463.00,0.519
1270,0.000,200,500.00,0.539
1372,0.000,200,470.00,0.523
1473,0.000,200,390.00,0.480
1574,0.000,200,421.00,0.496
1676,0.000,200,488.00,0.533
1777,0.000,200,504.00,0.541
1879,0.000,200,497.00,0.537
1980,0.000,200,500.00,0.539
2081,0.000,200,497.00,0.537
2184,0.000,200,529.00,0.555
2285,0.000,200,519.00,0.549
2386,0.000,200,551.00,0.567
2488,0.000,200,590.00,0.588
2589,0.000,200,598.00,0.592
2691,0.000,200,574.00,0.579
2792,0.000,200,588.00,0.587
2893,0.000,200,554.00,0.568
2995,0.000,200,561.00,0.572
3096,0.000,200,641.00,0.615
3197,0.000,200,698.00,0.646
3299,0.000,200,707.00,0.651
3400,0.000,200,665.00,0.628
3502,0.000,200,665.00,0.628
3604,0.000,200,676.00,0.634
3705,0.000,200,699.00,0.646
3807,0.000,200,777.00,0.688
3908,0.000,200,764.00,0.681
4009,0.000,200,741.00,0.669
4111,0.000,200,793.00,0.697
4212,0.000,200,832.00,0.718
4314,0.000,200,846.00,0.726
4415,0.000,200,853.00,0.729
4516,0.000,200,873.00,0.740
4618,0.000,200,949.00,0.781
4719,0.000,200,948.00,0.781
4820,0.000,200,911.00,0.761
4922,0.000,200,997.00,0.807
5023,0.000,200,1021.00,0.820
5126,0.000,200,1019.00,0.819
5227,0.000,200,1036.00,0.828
5328,0.000,200,1071.00,0.847
5430,0.000,200,1079.00,0.851
5531,0.000,200,1159.00,0.894
5632,0.000,200,1198.00,0.915
5734,0.000,200,1238.00,0.937
5835,0.000,200,1240.00,0.938
5937,0.000,200,1246.00,0.941
6038,0.000,200,1272.00,0.955
6139,0.000,200,1222.00,0.928
6241,0.000,200,1140.00,0.884
6342,0.000,200,1029.00,0.824