yms,pos,steps,strain,g
0,0.000,200,-1448.00,-0.511
2,0.000,200,-1439.00,-0.506
25,0.000,200,-1040.00,-0.291
116,0.000,200,459.00,0.517
208,0.000,200,651.00,0.620
300,0.000,200,169.00,0.361
391,0.000,200,141.00,0.346
483,0.000,200,237.00,0.397
575,0.000,200,244.00,0.401
667,0.000,200,182.00,0.368
759,0.000,200,230.00,0.394
851,0.000,200,168.00,0.360
942,0.000,200,152.00,0.351
1034,0.000,200,361.00,0.464
1125,0.000,200,484.00,0.530
1217,0.000,200,245.00,0.402
1310,0.000,200,88.00,0.317
1401,0.000,200,240.00,0.399
1493,0.000,200,349.00,0.458
1585,0.000,200,391.00,0.480
1676,0.000,200,424.00,0.498
1768,0.000,200,407.00,0.489
1861,0.000,200,340.00,0.453
1952,0.000,200,277.00,0.419
2044,0.000,200,214.00,0.385
2136,0.000,200,193.00,0.374
2227,0.000,200,177.00,0.365
2319,0.000,200,244.00,0.401
2411,0.000,200,283.00,0.422
2503,0.000,200,275.00,0.418
2595,0.000,200,207.00,0.381
2686,0.000,200,129.00,0.339
2778,0.000,200,87.00,0.316
2870,0.000,200,108.00,0.328
2961,0.000,200,102.00,0.325
3054,0.000,200,147.00,0.349
3146,0.000,200,176.00,0.364
3237,0.000,200,177.00,0.365
3329,0.000,200,141.00,0.346
3421,0.000,200,124.00,0.336
3512,0.000,200,57.00,0.300
3604,0.000,200,89.00,0.318
3697,0.000,200,132.00,0.341
3788,0.000,200,58.00,0.301
3880,0.000,200,16.00,0.278
3972,0.000,200,-25.00,0.256
4063,0.000,200,15.00,0.278
4155,0.000,200,136.00,0.343
4248,0.000,200,184.00,0.369
4339,0.000,200,288.00,0.425
4431,0.000,200,394.00,0.482
4522,0.000,200,389.00,0.479
4614,0.000,200,415.00,0.493
4706,0.000,200,500.00,0.539
4797,0.000,200,486.00,0.532
4890,0.000,200,491.00,0.534
4982,0.000,200,568.00,0.576
5073,0.000,200,617.00,0.602
5165,0.000,200,596.00,0.591
5257,0.000,200,531.00,0.556
5348,0.000,200,550.00,0.566
5440,0.000,200,520.00,0.550
5533,0.000,200,470.00,0.523
5624,0.000,200,452.00,0.513
5716,0.000,200,385.00,0.477
5807,0.000,200,450.00,0.512
5899,0.000,200,470.00,0.523
5991,0.000,200,407.00,0.489
6083,0.000,200,263.00,0.411
6175,0.000,200,155.00,0.353
6267,0.000,200,127.00,0.338
6358,0.000,200,139.00,0.344
6450,0.000,200,281.00,0.421
6542,0.000,200,381.00,0.475
6633,0.000,200,495.00,0.536
6726,0.000,200,446.00,0.510
6818,0.000,200,436.00,0.505
6909,0.000,200,429.00,0.501
7001,0.000,200,380.00,0.474
7092,0.000,200,438.00,0.506
7184,0.000,200,499.00,0.539
7277,0.000,200,542.00,0.562
7368,0.000,200,509.00,0.544
7460,0.000,200,577.00,0.581
7552,0.000,200,525.00,0.553