ms,pos,steps,strain,g
0,0.000,200,-188.00,0.168
2,0.000,200,-145.00,0.191
87,0.000,200,-203.00,0.160
188,0.000,200,-237.00,0.142
290,0.000,200,-212.00,0.155
391,0.000,200,-250.00,0.135
493,0.000,200,-303.00,0.106
594,0.000,200,-342.00,0.085
695,0.000,200,-365.00,0.073
798,0.000,200,-354.00,0.079
899,0.000,200,-355.00,0.078
1000,0.000,200,-398.00,0.055
1102,0.000,200,-423.00,0.042
1203,0.000,200,-426.00,0.040
1305,0.000,200,-442.00,0.031
1406,0.000,200,-443.00,0.031
1507,0.000,200,-460.00,0.022
1609,0.000,200,-481.00,0.010
1711,0.000,200,-534.00,-0.018
1812,0.000,200,-533.00,-0.018
1914,0.000,200,-527.00,-0.015
2015,0.000,200,-586.00,-0.046
2117,0.000,200,-580.00,-0.043
2218,0.000,200,-572.00,-0.039
2319,0.000,200,-655.00,-0.084
2421,0.000,200,-694.00,-0.105
2522,0.000,200,-669.00,-0.091
2625,0.000,200,-672.00,-0.093
2726,0.000,200,-681.00,-0.098
2827,0.000,200,-701.00,-0.108
2929,0.000,200,-731.00,-0.125
3030,0.000,200,-772.00,-0.147
3131,0.000,200,-769.00,-0.145
3233,0.000,200,-800.00,-0.162
3334,0.000,200,-865.00,-0.197
3436,0.000,200,-913.00,-0.223
3537,0.000,200,-931.00,-0.232
3639,0.000,200,-964.00,-0.250
3741,0.000,200,-1004.00,-0.272
3842,0.000,200,-1057.00,-0.300
3943,0.000,200,-1062.00,-0.303
4045,0.000,200,-1128.00,-0.339
4146,0.000,200,-1154.00,-0.353
4248,0.000,200,-1181.00,-0.367
4349,0.000,200,-1217.00,-0.387
4451,0.000,200,-1260.00,-0.410
4553,0.000,200,-1346.00,-0.456
4654,0.000,200,-1381.00,-0.475
4755,0.000,200,-1380.00,-0.474
4857,0.000,200,-1425.00,-0.499
4958,0.000,200,-1487.00,-0.532
5060,0.000,200,-1534.00,-0.557
5161,0.000,200,-1587.00,-0.586
5262,0.000,200,-1714.00,-0.654
5364,0.000,200,-1720.00,-0.658
5466,0.000,200,-1715.00,-0.655
5567,0.000,200,-1792.00,-0.696
5669,0.000,200,-1815.00,-0.709
5770,0.000,200,-1771.00,-0.685
5872,0.000,200,-1605.00,-0.596
5973,0.000,200,-1400.00,-0.485
6074,0.000,200,-1280.00,-0.420
6176,0.000,200,-1171.00,-0.362
6277,0.000,200,-1073.00,-0.309
6378,0.000,200,-975.00,-0.256