⸮⸮ms,pos,steps,strain,g
0,0.000,200,-610130.00,-328.641
2,0.000,200,-607086.00,-327.001
8,0.000,200,-600723.00,-323.570
100,0.000,200,-599727.00,-323.033
192,0.000,200,-594018.00,-319.956
283,0.000,200,-590822.00,-318.233
375,0.000,200,-590962.00,-318.308
468,0.000,200,-596199.00,-321.132
559,0.000,200,-595020.00,-320.496
651,0.000,200,-592771.00,-319.284
743,0.000,200,-593041.00,-319.429
834,0.000,200,-590345.00,-317.976
926,0.000,200,-580189.00,-312.501
1018,0.000,200,-573532.00,-308.912
1110,0.000,200,-579537.00,-312.149
1202,0.000,200,-583883.00,-314.492
1293,0.000,200,-583388.00,-314.225
1385,0.000,200,-586737.00,-316.031
1477,0.000,200,-592871.00,-319.337
1568,0.000,200,-601833.00,-324.169
1661,0.000,200,-608094.00,-327.544
1752,0.000,200,-604914.00,-325.830
1844,0.000,200,-603788.00,-325.223
1936,0.000,200,-604874.00,-325.808
2027,0.000,200,-604326.00,-325.513
2119,0.000,200,-603681.00,-325.165
2212,0.000,200,-600800.00,-323.612
2303,0.000,200,-599889.00,-323.121
2395,0.000,200,-597666.00,-321.922
2486,0.000,200,-591434.00,-318.563
2578,0.000,200,-589882.00,-317.726
2670,0.000,200,-593567.00,-319.713
2761,0.000,200,-594084.00,-319.991
2854,0.000,200,-593736.00,-319.804
2946,0.000,200,-595048.00,-320.511
3037,0.000,200,-587997.00,-316.710
3129,0.000,200,-578610.00,-311.650
3221,0.000,200,-586168.00,-315.724
3312,0.000,200,-592036.00,-318.887
3404,0.000,200,-581143.00,-313.015
3496,0.000,200,-579571.00,-312.168
3588,0.000,200,-583681.00,-314.383
3680,0.000,200,-586463.00,-315.883
3771,0.000,200,-584893.00,-315.037
3863,0.000,200,-587775.00,-316.590
3955,0.000,200,-600717.00,-323.567
4047,0.000,200,-611167.00,-329.201
4139,0.000,200,-601534.00,-324.008
4230,0.000,200,-592036.00,-318.887
4322,0.000,200,-588693.00,-317.085
4414,0.000,200,-589637.00,-317.594
4505,0.000,200,-600125.00,-323.248
4597,0.000,200,-603046.00,-324.823
4690,0.000,200,-602683.00,-324.627
4781,0.000,200,-610971.00,-329.095
4873,0.000,200,-626503.00,-337.468
4964,0.000,200,-631273.00,-340.039
5056,0.000,200,-635999.00,-342.587
5148,0.000,200,-639925.00,-344.703
5239,0.000,200,-644870.00,-347.369
5332,0.000,200,-649920.00,-350.092
5424,0.000,200,-652827.00,-351.659
5515,0.000,200,-653088.00,-351.799
5607,0.000,200,-652374.00,-351.415
5699,0.000,200,-648958.00,-349.573
5790,0.000,200,-641066.00,-345.319
5883,0.000,200,-642597.00,-346.144
5974,0.000,200,-645010.00,-347.445
6066,0.000,200,-646383.00,-348.185
6158,0.000,200,-651928.00,-351.174
6249,0.000,200,-655923.00,-353.328
6341,0.000,200,-659204.00,-355.096
6433,0.000,200,-666519.00,-359.040
6525,0.000,200,-667293.00,-359.457
6617,0.000,200,-663425.00,-357.372
6708,0.000,200,-657955.00,-354.423
6800,0.000,200,-654209.00,-352.404
6892,0.000,200,-653426.00,-351.982
6983,0.000,200,-655711.00,-353.213
7076,0.000,200,-657348.00,-354.096
7168,0.000,200,-658393.00,-354.659