fish,trial,frame,frame_raw,time_ms,pt_num,landmark,x,y,z
bass_1,s01,1,186,0,5,basi,7.262659,6.689217,5.941217
bass_1,s01,1,186,0,3,eye,7.653178,7.652991,6.987397
bass_1,s01,1,186,0,1,lj,6.103724,7.197144,5.673198
bass_1,s01,1,186,0,6,p2,11.05071946544245,6.131641188335817,7.267551571192426
bass_1,s01,1,186,0,4,pm,6.341527,7.645784,5.874519
bass_1,s01,1,186,0,8,quad,8.052699622082143,6.637460983890975,6.541945407738087
bass_1,s01,1,186,0,2,so,8.818252,6.385042,6.880896
bass_1,s01,1,186,0,7,uro,7.574792,6.666962,6.004682
bass_1,s01,2,187,1,5,basi,7.215035,6.652286,5.882383
bass_1,s01,2,187,1,3,eye,7.611751,7.617596,6.941242
bass_1,s01,2,187,1,1,lj,6.076952,7.136809,5.596354
bass_1,s01,2,187,1,6,p2,11.039136850542114,6.125597812395265,7.260365195027271
bass_1,s01,2,187,1,4,pm,6.288049,7.609009,5.721039
bass_1,s01,2,187,1,8,quad,8.0292632672902,6.536829926612138,6.499930394669147
bass_1,s01,2,187,1,2,so,8.760179,6.353124,6.838482
bass_1,s01,2,187,1,7,uro,7.542467,6.61379,5.957239
bass_1,s01,3,188,2,5,basi,7.191731,6.615068,5.812567
bass_1,s01,3,188,2,3,eye,7.572202,7.576854,6.882204
bass_1,s01,3,188,2,1,lj,6.032707,7.081619,5.532221
bass_1,s01,3,188,2,6,p2,11.026846420127583,6.117536700191971,7.254328011785329
bass_1,s01,3,188,2,4,pm,6.257904,7.602882,5.607186
bass_1,s01,3,188,2,8,quad,7.975356648391675,6.542669467212991,6.427907690310063
bass_1,s01,3,188,2,2,so,8.696372,6.324061,6.782164
bass_1,s01,3,188,2,7,uro,7.489168,6.581702,5.902355
bass_1,s01,4,189,3,5,basi,7.141694,6.577946,5.777166
bass_1,s01,4,189,3,3,eye,7.525102,7.557718,6.830196
bass_1,s01,4,189,3,1,lj,5.991977,7.0209,5.468235
bass_1,s01,4,189,3,6,p2,11.014815468797329,6.109217050624467,7.247031288504578
bass_1,s01,4,189,3,4,pm,6.211383,7.583005,5.573493
bass_1,s01,4,189,3,8,quad,7.939823105885132,6.5004650712607726,6.353479736968836
bass_1,s01,4,189,3,2,so,8.667786,6.277959,6.725715
bass_1,s01,4,189,3,7,uro,7.442952,6.535808,5.839816
bass_1,s01,5,190,4,5,basi,7.089609,6.541077,5.695582
