ms,pos,steps,strain,g
0,0.000,200,50.00,0.296
2,0.000,200,47.00,0.295
80,0.000,200,78.00,0.312
181,0.000,200,90.00,0.318
283,0.000,200,119.00,0.334
384,0.000,200,187.00,0.370
485,0.000,200,235.00,0.396
588,0.000,200,246.00,0.402
689,0.000,200,257.00,0.408
791,0.000,200,294.00,0.428
892,0.000,200,361.00,0.464
993,0.000,200,380.00,0.474
1095,0.000,200,346.00,0.456
1196,0.000,200,375.00,0.472
1297,0.000,200,436.00,0.505
1400,0.000,200,467.00,0.521
1501,0.000,200,469.00,0.522
1603,0.000,200,468.00,0.522
1704,0.000,200,493.00,0.535
1805,0.000,200,521.00,0.550
1907,0.000,200,545.00,0.563
2008,0.000,200,504.00,0.541
2109,0.000,200,538.00,0.560
2212,0.000,200,553.00,0.568
2313,0.000,200,559.00,0.571
2415,0.000,200,607.00,0.597
2516,0.000,200,628.00,0.608
2617,0.000,200,645.00,0.617
2719,0.000,200,631.00,0.610
2820,0.000,200,614.00,0.601
2922,0.000,200,615.00,0.601
3024,0.000,200,695.00,0.644
3125,0.000,200,725.00,0.660
3227,0.000,200,737.00,0.667
3328,0.000,200,740.00,0.668
3429,0.000,200,746.00,0.672
3531,0.000,200,736.00,0.666
3632,0.000,200,723.00,0.659
3735,0.000,200,744.00,0.671
3836,0.000,200,796.00,0.699
3937,0.000,200,793.00,0.697
4039,0.000,200,823.00,0.713
4140,0.000,200,862.00,0.734
4241,0.000,200,866.00,0.736
4343,0.000,200,874.00,0.741
4444,0.000,200,908.00,0.759
4547,0.000,200,880.00,0.744
4648,0.000,200,907.00,0.758
4749,0.000,200,966.00,0.790
4851,0.000,200,973.00,0.794
4952,0.000,200,974.00,0.795
5053,0.000,200,956.00,0.785
5155,0.000,200,1000.00,0.809
5256,0.000,200,1059.00,0.840
5359,0.000,200,1056.00,0.839
5460,0.000,200,1118.00,0.872
5561,0.000,200,1186.00,0.909
5663,0.000,200,1177.00,0.904
5764,0.000,200,1182.00,0.907
5865,0.000,200,1196.00,0.914
5967,0.000,200,1234.00,0.935
6068,0.000,200,1241.00,0.939
6171,0.000,200,1289.00,0.964
6272,0.000,200,1326.00,0.984
6373,0.000,200,1337.00,0.990
6475,0.000,200,1353.00,0.999
6576,0.000,200,1409.00,1.029
6678,0.000,200,1472.00,1.063
6779,0.000,200,1505.00,1.081
6880,0.000,200,1503.00,1.080
6983,0.000,200,1557.00,1.109
7084,0.000,200,1608.00,1.136
7185,0.000,200,1660.00,1.164
7287,0.000,200,1692.00,1.182
7388,0.000,200,1724.00,1.199
7490,0.000,200,1765.00,1.221
7591,0.000,200,1801.00,1.240
7692,0.000,200,1844.00,1.264
7795,0.000,200,1876.00,1.281
7896,0.000,200,1903.00,1.295
7997,0.000,200,1976.00,1.335
8099,0.000,200,2033.00,1.365
8200,0.000,200,2127.00,1.416
8302,0.000,200,2212.00,1.462
8403,0.000,200,2312.00,1.516
8505,0.000,200,2380.00,1.553
8607,0.000,200,2460.00,1.596
8708,0.000,200,2519.00,1.627
8809,0.000,200,2589.00,1.665
8911,0.000,200,2702.00,1.726
9012,0.000,200,2772.00,1.764
9114,0.000,200,2855.00,1.809
9215,0.000,200,2970.00,1.871
9317,0.000,200,3108.00,1.945
9419,0.000,200,3238.00,2.015
9520,0.000,200,3338.00,2.069
9622,0.000,200,3430.00,2.119
9723,0.000,200,3592.00,2.206
9824,0.000,200,3740.00,2.286
9926,0.000,200,3903.00,2.374
10028,0.000,200,4051.00,2.453
10129,0.000,200,4197.00,2.532
10231,0.000,200,4298.00,2.587
10332,0.000,200,4489.00,2.689
10434,0.000,200,4709.00,2.808
10535,0.000,200,4887.00,2.904
10636,0.000,200,5037.00,2.985
10738,0.000,200,5064.00,2.999
10840,0.000,200,4704.00,2.805
10941,0.000,200,4249.00,2.560
11043,0.000,200,3857.00,2.349
11144,0.000,200,3503.00,2.158
11246,0.000,200,3201.00,1.995
11347,0.000,200,2905.00,1.836
11448,0.000,200,2703.00,1.727
11550,0.000,200,2486.00,1.610
11652,0.000,200,2275.00,1.496
11753,0.000,200,2129.00,1.417
11855,0.000,200,2004.00,1.350
11956,0.000,200,1865.00,1.275
12058,0.000,200,1720.00,1.197
12159,0.000,200,1621.00,1.143
12260,0.000,200,1527.00,1.093
12363,0.000,200,1410.00,1.030
12464,0.000,200,1237.00,0.936
12566,0.000,200,1171.00,0.901
12667,0.000,200,1116.00,0.871
12768,0.000,200,1045.00,0.833
12870,0.000,200,1015.00,0.817
12971,0.000,200,968.00,0.791
13072,0.000,200,925.00,0.768
13175,0.000,200,841.00,0.723
13276,0.000,200,754.00,0.676
13378,0.000,200,738.00,0.667
13479,0.000,200,698.00,0.646
13580,0.000,200,661.00,0.626
13682,0.000,200,604.00,0.595
13783,0.000,200,581.00,0.583
13885,0.000,200,562.00,0.573
13987,0.000,200,523.00,0.551
14088,0.000,200,486.00,0.532
14190,0.000,200,465.00,0.520
14291,0.000,200,407.00,0.489
14392,0.000,200,382.00,0.475
14494,0.000,200,356.00,0.461
14595,0.000,200,338.00,0.452
14697,0.000,200,292.00,0.427
14799,0.000,200,248.00,0.403
14900,0.000,200,262.00,0.411
15002,0.000,200,241.00,0.399
15103,0.000,200,204.00,0.380