ms,pos,steps,strain,g
0,0.000,200,-7.00,0.266
2,0.000,200,23.00,0.282
79,0.000,200,88.00,0.317
180,0.000,200,146.00,0.348
282,0.000,200,210.00,0.383
383,0.000,200,278.00,0.419
484,0.000,200,355.00,0.461
587,0.000,200,443.00,0.508
688,0.000,200,498.00,0.538
789,0.000,200,553.00,0.568
891,0.000,200,570.00,0.577
992,0.000,200,568.00,0.576
1094,0.000,200,659.00,0.625
1195,0.000,200,708.00,0.651
1296,0.000,200,746.00,0.672
1398,0.000,200,748.00,0.673
1499,0.000,200,772.00,0.686
1601,0.000,200,786.00,0.693
1703,0.000,200,831.00,0.718
1804,0.000,200,864.00,0.735
1906,0.000,200,869.00,0.738
2007,0.000,200,894.00,0.751
2108,0.000,200,955.00,0.784
2210,0.000,200,993.00,0.805
2311,0.000,200,976.00,0.796
2412,0.000,200,1048.00,0.835
2514,0.000,200,1070.00,0.846
2615,0.000,200,1044.00,0.832
2718,0.000,200,1009.00,0.813
2819,0.000,200,1018.00,0.818
2920,0.000,200,1046.00,0.833
3022,0.000,200,1109.00,0.867
3123,0.000,200,1204.00,0.919
3224,0.000,200,1221.00,0.928
3326,0.000,200,1196.00,0.914
3427,0.000,200,1211.00,0.922
3529,0.000,200,1233.00,0.934
3631,0.000,200,1247.00,0.942
3732,0.000,200,1252.00,0.944
3834,0.000,200,1300.00,0.970
3935,0.000,200,1351.00,0.998
4037,0.000,200,1372.00,1.009
4138,0.000,200,1355.00,1.000
4239,0.000,200,1351.00,0.998
4341,0.000,200,1416.00,1.033
4442,0.000,200,1451.00,1.052
4543,0.000,200,1465.00,1.059
4645,0.000,200,1465.00,1.059
4746,0.000,200,1484.00,1.070
4848,0.000,200,1516.00,1.087
4950,0.000,200,1492.00,1.074
5051,0.000,200,1540.00,1.100
5153,0.000,200,1617.00,1.141
5254,0.000,200,1602.00,1.133
5355,0.000,200,1624.00,1.145
5457,0.000,200,1666.00,1.168
5558,0.000,200,1679.00,1.175
5660,0.000,200,1679.00,1.175
5761,0.000,200,1739.00,1.207
5862,0.000,200,1773.00,1.225
5965,0.000,200,1796.00,1.238
6066,0.000,200,1813.00,1.247
