ms,pos,steps,strain,g
0,0.000,200,797.00,0.699
2,0.000,200,801.00,0.701
35,0.000,200,881.00,0.744
137,0.000,200,1248.00,0.942
238,0.000,200,1903.00,1.295
339,0.000,200,2490.00,1.612
441,0.000,200,3073.00,1.926
542,0.000,200,3505.00,2.159
644,0.000,200,3783.00,2.309
746,0.000,200,3985.00,2.418
847,0.000,200,4144.00,2.504
949,0.000,200,4264.00,2.568
1050,0.000,200,4335.00,2.606
1151,0.000,200,4406.00,2.645
1253,0.000,200,4546.00,2.720
1354,0.000,200,4674.00,2.789
1456,0.000,200,4834.00,2.875
1558,0.000,200,4958.00,2.942
1659,0.000,200,5102.00,3.020
1761,0.000,200,5235.00,3.092