ms,pos,steps,strain,g
0,0.000,200,282.00,0.422
2,0.000,200,362.00,0.465
74,0.000,200,718.00,0.657
166,0.000,200,1452.00,1.052
257,0.000,200,1466.00,1.060
349,0.000,200,1355.00,1.000
441,0.000,200,1303.00,0.972
532,0.000,200,1288.00,0.964
624,0.000,200,1368.00,1.007
717,0.000,200,1424.00,1.037
808,0.000,200,1449.00,1.051
900,0.000,200,1488.00,1.072
992,0.000,200,1619.00,1.142
1083,0.000,200,1629.00,1.148
1175,0.000,200,1572.00,1.117
1268,0.000,200,1516.00,1.087
1359,0.000,200,1596.00,1.130
1451,0.000,200,1585.00,1.124
1543,0.000,200,1609.00,1.137
1634,0.000,200,1614.00,1.140
1726,0.000,200,1632.00,1.149
1818,0.000,200,1662.00,1.165
1910,0.000,200,1660.00,1.164
2002,0.000,200,1660.00,1.164
2094,0.000,200,1685.00,1.178
2185,0.000,200,1704.00,1.188
2277,0.000,200,1781.00,1.230
2369,0.000,200,1845.00,1.264
2460,0.000,200,1896.00,1.292
2553,0.000,200,1890.00,1.288
2645,0.000,200,1911.00,1.300
2736,0.000,200,1887.00,1.287
2828,0.000,200,1908.00,1.298
2920,0.000,200,1967.00,1.330
3011,0.000,200,2068.00,1.384
3104,0.000,200,2096.00,1.399
3196,0.000,200,2017.00,1.357
3287,0.000,200,2008.00,1.352
3379,0.000,200,2059.00,1.380
3471,0.000,200,2164.00,1.436
3562,0.000,200,2227.00,1.470
3654,0.000,200,2299.00,1.509
3747,0.000,200,2338.00,1.530
3838,0.000,200,2447.00,1.589
3930,0.000,200,2543.00,1.640
4022,0.000,200,2600.00,1.671
4113,0.000,200,2688.00,1.719
4205,0.000,200,2704.00,1.727
4298,0.000,200,2652.00,1.699
4389,0.000,200,2745.00,1.749
4481,0.000,200,2876.00,1.820
4573,0.000,200,2889.00,1.827
4664,0.000,200,2875.00,1.819
4756,0.000,200,2896.00,1.831
4848,0.000,200,2927.00,1.847
4940,0.000,200,3107.00,1.944
5032,0.000,200,3225.00,2.008
5124,0.000,200,3116.00,1.949
5215,0.000,200,3116.00,1.949
5307,0.000,200,3234.00,2.013
5399,0.000,200,3294.00,2.045
5490,0.000,200,3380.00,2.092
5583,0.000,200,3462.00,2.136
5675,0.000,200,3497.00,2.155
5767,0.000,200,3601.00,2.211
5858,0.000,200,3545.00,2.181
5950,0.000,200,3380.00,2.092