ms,pos,steps,strain,g
0,0.000,200,-11.00,0.264
10,0.000,200,19.00,0.280
111,0.000,200,128.00,0.339
214,0.000,200,315.00,0.439
315,0.000,200,436.00,0.505
417,0.000,200,444.00,0.509
518,0.000,200,423.00,0.498
619,0.000,200,448.00,0.511
721,0.000,200,479.00,0.528
822,0.000,200,517.00,0.548
923,0.000,200,577.00,0.581
1026,0.000,200,614.00,0.601
1127,0.000,200,632.00,0.610
1229,0.000,200,717.00,0.656
1330,0.000,200,749.00,0.673
1431,0.000,200,798.00,0.700
1533,0.000,200,838.00,0.721
1634,0.000,200,902.00,0.756
1735,0.000,200,901.00,0.755
1838,0.000,200,926.00,0.769
1939,0.000,200,1000.00,0.809
2041,0.000,200,1042.00,0.831
2142,0.000,200,1047.00,0.834
2243,0.000,200,1140.00,0.884
2345,0.000,200,1224.00,0.929
2446,0.000,200,1286.00,0.963
2548,0.000,200,1367.00,1.006
2650,0.000,200,1392.00,1.020
2751,0.000,200,1418.00,1.034
2853,0.000,200,1502.00,1.079
2954,0.000,200,1560.00,1.111
3055,0.000,200,1599.00,1.132
3157,0.000,200,1642.00,1.155
3258,0.000,200,1746.00,1.211
3360,0.000,200,1793.00,1.236
3461,0.000,200,1851.00,1.267
3563,0.000,200,1906.00,1.297
3665,0.000,200,1979.00,1.336
3766,0.000,200,2069.00,1.385
3867,0.000,200,2181.00,1.445
3969,0.000,200,2245.00,1.480
4070,0.000,200,2331.00,1.526
4172,0.000,200,2434.00,1.582
4273,0.000,200,2542.00,1.640
4375,0.000,200,2654.00,1.700
4477,0.000,200,2818.00,1.789
4578,0.000,200,2983.00,1.878
4679,0.000,200,3095.00,1.938
4781,0.000,200,3203.00,1.996
4882,0.000,200,3372.00,2.087
4984,0.000,200,3489.00,2.150
5085,0.000,200,3632.00,2.227
5187,0.000,200,3498.00,2.155
5289,0.000,200,3218.00,2.004
5390,0.000,200,2961.00,1.866
5492,0.000,200,2699.00,1.725